PriceOfSqwMeter	NumberOfRooms	RealtyProposalID	GpsLongitude	GpsLatitude
36708	1	5253992		45.99518	51.601247
73170	1	37838200	46.003687	51.527231
32619	1	117528270	45.959921	51.581361
36277	1	160700716	45.972129	51.591786
67000	1	176109668	46.034158	51.533103
39682	1	192635506	45.91143	51.498106
54687	1	217403289	46.068446	51.572344
30615	1	235062206	45.96823	51.536352
37000	1	247338997	45.942332	51.497574
36875	1	263556051	45.93855	51.494058
40000	1	267621673	45.969515	51.516129
44444	1	286551307	46.11603	51.468312
62500	1	317478622	45.982909	51.509061
46153	1	317606180	46.139602	51.468037
47333	1	336360970	46.010622	51.5269
49523	1	345786967	46.020333	51.566191
51904	1	357447944	45.9712721865	51.5343841935
67894	1	358163334	46.0205676614	51.5440677266
60544	1	364960235	45.99854	51.524423
28823	1	380842188	45.91823	51.472071
49230	1	382617257	46.014332	51.524961
55882	1	382692890	46.004648	51.531635
73333	1	392635773	46.063173	51.53006
36842	1	397223324	46.02778	51.544794
67543	1	398866312	45.996878	51.557093
31730	1	409302136	46.0554874705	51.4007508403
58552	1	417547083	46.0168153996	51.525772773
41578	1	423677222	45.998117	51.605845
70000	1	436264516	46.014386	51.528077
43478	1	444904629	46.06809997	51.5728393944
56164	1	452169051	45.978444	51.537092
35000	1	454132922	45.9168822408	51.5046078361
39062	1	455196741	45.973342	51.585592
38888	1	458895710	46.118069	51.467661
46969	1	458988698	45.966452	51.578713
63207	1	461622209	46.0745370899	51.5757903443
43750	1	467652224	45.9994052196	51.5994133183
50000	1	472121615	46.048216	51.525623
46086	1	473448483	46.024133	51.529198
27241	1	487080271	45.971994	51.583112
49583	1	487110825	46.034158	51.533103
55800	1	492315857	46.118842	51.496334
43026	1	508712311	46.014	51.53605
42592	1	508846646	46.070207	51.581461
36153	1	513834870	46.097363	51.482533
40517	1	515087017	46.023135	51.542996
58163	1	515361901	46.018213	51.525045
43750	1	516815681	45.968078	51.5877619
70714	1	517334128	46.0291	51.56436
42926	1	518998055	45.97018	51.523628
42968	1	520353665	46.126496	51.480301
33333	1	522893563	46.057638	51.661006
47701	1	524692815	45.990437	51.531119
39795	1	528576002	45.9382820172	51.5015313039
33384	1	530485350	46.094677	51.447632
47826	1	530620006	46.06347	51.532638
55000	1	532192136	45.988317	51.528671
33636	1	533707000	45.920323	51.596978
45348	1	537446185	46.133835	51.4779
40000	1	537499287	46.009679	51.606679
33636	1	541787864	45.937185	51.497568
35000	1	542355961	46.070306	51.581803
32812	1	547791848	46.0798589144	51.4064314374
43939	1	550296013	45.950812	51.492695
59375	1	551451484	46.0239439497	51.5406587612
67800	1	551580813	46.0202476852	51.5652647049
50714	1	552002367	45.998584	51.535333
39344	1	552941906	46.0357594913	51.5312592249
43750	1	557924979	45.942844	51.512234
58750	1	559053724	46.023872	51.543618
66326	1	559596134	46.05066	51.532806
70000	1	561075985	46.003453	51.527802
50000	1	564598092	46.113946	51.495376
36065	1	565778467	46.010002	51.575417
59090	1	566674113	46.004253	51.541181
37894	1	567801101	46.022938	51.519027
39062	1	568403477	45.941982	51.510838
32000	1	569308606	46.070072	51.577751
39090	1	569851825	45.929809	51.489869
49807	1	570658393	45.942637	51.498258
39062	1	570771815	46.123351	51.489084
40243	1	574307823	46.034176	51.533108
48076	1	574396156	46.15914	51.488786
34166	1	574972116	46.001702	51.598142
47058	1	575418742	46.040347	51.544127
66153	1	576803963	46.00923	51.514055
38333	1	577336056	45.913855	51.507037
37500	1	581937706	45.92159	51.595244
51724	1	582863013	46.053238	51.529136
34090	1	582888681	46.130709	51.475347
33333	1	584795607	46.137823	51.469962
30000	1	585237520	45.977465	51.566163
49462	1	585277568	46.0228857707	51.519208058
45000	1	585647423	46.034158	51.533103
41666	1	585669666	45.9830639545	51.6090985755
76923	1	585696106	46.044174	51.529321
41044	1	587276281	45.954289	51.583728
47826	1	587811876	46.110533	51.480222
37878	1	587884943	45.909687	51.469883
50757	1	588411699	46.022938	51.519027
33064	1	589221155	46.081454	51.578635
44680	1	589887787	45.971922	51.593923
33333	1	589896664	45.934822	51.494007
43333	1	590347817	45.968958	51.587142
34328	1	591852675	46.005484	51.607065
37727	1	598093926	45.926225	51.597946
62500	1	599104967	46.008861	51.533198
33695	1	599309878	46.021411	51.561914
48333	1	605150674	46.108781	51.502934
25000	1	605201225	45.975974	51.588597
39830	1	606801581	46.016308	51.542083
26041	1	607347743	46.004522	51.537657
35000	1	607381108	45.925785	51.489387
30681	1	607522397	45.91744	51.50521
43209	1	607747976	46.0638378122	51.5691722236
41666	1	607767772	45.97663	51.605185
62820	1	607796840	46.031786	51.525438
34186	1	607815297	45.934822	51.494007
32500	1	608235114	45.936744	51.492331
41176	1	608429329	45.909823	51.477443
31162	1	608852582	46.1157276141	51.5003796027
55555	1	609282730	46.0201373228	51.5258786903
32558	1	609706256	45.960649	51.580241
43055	1	610209259	46.119947	51.490761
42031	1	610594935	46.064665	51.572674
45625	1	610670440	46.132963	51.479313
28000	1	611291823	45.9715	51.612182
27500	1	612267001	45.909921	51.500719
47058	1	612907552	45.994425	51.536957
38135	1	613818278	45.98458	51.60514
38906	1	614262410	46.000381	51.604262
44202	1	614294204	46.080852	51.580359
39729	1	615192710	46.067368	51.576044
34745	1	617042380	46.126505	51.488944
40000	1	617248209	45.853884	51.585944
32432	1	617551132	45.9168756111	51.589758713
43333	1	617863297	46.038506	51.525964
37878	1	618148941	45.970557	51.56847
55172	1	619675410	45.954065373	51.4975643933
31730	1	620533920	45.945844	51.5103
66153	1	621032161	46.02301	51.519044
51470	1	621043951	46.023576	51.529769
36020	1	621289769	46.0842627418	51.6204645288
32299	1	621416569	46.022884	51.566992
72656	1	622129958	46.058044	51.529366
48979	1	622717225	46.041605	51.535439
63000	1	623720760	46.013559	51.527847
36507	1	623723545	45.91134	51.588446
31666	1	625748083	46.162383	51.491024
25438	1	625754491	45.958223	51.579945
46875	1	626221981	46.115312	51.500702
37804	1	626553109	45.996976	51.614084
75000	1	626605598	45.990293	51.520473
36046	1	626987798	45.923099	51.476116
25833	1	627463678	46.034158	51.533103
30693	1	628241505	46.156104	51.478545
35784	1	629125898	46.1271502195	51.4773196217
40000	1	631453002	45.958214	51.584327
29166	1	632937153	46.013703	51.604933
26153	1	633521210	45.929064	51.595367
56521	1	635848518	46.0093352296	51.5439085826
29411	1	636405673	46.163335	51.491585
35000	1	636513317	46.0555272527	51.400350942
35937	1	636513932	46.004235	51.609872
31904	1	636880402	46.005087585	51.5531201416
34615	1	637813675	45.973944	51.608357
45098	1	638099450	46.071357	51.580756
35000	1	638405014	45.931633	51.491478
36170	1	638451708	45.973495	51.577364
60377	1	639114744	46.044174	51.529321
44166	1	639872559	46.003031	51.571342
27818	1	640161405	45.948737	51.512318
44444	1	640508966	46.037311	51.523689
40784	1	640523206	45.982514	51.538061
45424	1	641410284	45.923602	51.475667
35897	1	641720205	45.989197	51.602282
36764	1	641723833	45.937301	51.508444
37297	1	641957216	46.001666	51.598047
51851	1	642013405	46.0440252196	51.5285335367
36250	1	642030207	46.123369	51.489095
54629	1	642526530	45.992314	51.571638
33673	1	642729351	46.0017264816	51.5987713926
40740	1	646010415	46.134113	51.48264
48437	1	646703092	46.046339	51.548009
33593	1	647769401	45.974492	51.581086
76554	1	648903133	46.022938	51.519027
73255	1	648991024	46.01355	51.535506
31428	1	649573164	45.924455	51.489611
35365	1	649974280	46.017207	51.60405
54629	1	650533116	45.969811	51.527914
39473	1	650578440	45.974941	51.600229
52272	1	651390693	45.955447	51.498852
45961	1	651402600	45.964008	51.594041
38000	1	651735702	45.954307	51.585004
38775	1	653436458	46.046898123	51.4130039735
64473	1	656354969	45.968994	51.536414
49782	1	656694391	46.074869	51.579419
33333	1	658224539	46.004954	51.534688
41379	1	659273467	46.090383	51.499458
38333	1	659431604	46.003732	51.569573
34444	1	659881597	45.971833	51.594013
58333	1	660269269	46.035397	51.531332
38333	1	660958290	45.970027	51.603065
47142	1	661702006	45.8306999502	51.428701582
51948	1	662022181	46.120818	51.48988
36440	1	663510901	45.980367	51.570586
38732	1	663518857	45.980367	51.570586
35000	1	663694299	46.141596	51.486397
40540	1	665193775	45.92159	51.595244
36666	1	665414804	45.996078	51.541853
32786	1	666628987	45.910514	51.602052
39473	1	667332629	46.040653	51.526816
42424	1	668131645	46.0230900964	51.5193557323
33604	1	668565156	45.993186	51.60142
38000	1	669435193	46.004136	51.600967
67777	1	669589273	46.013604	51.536778
51612	1	669683788	46.06303	51.531175
67128	1	670920970	46.041713	51.528576
36065	1	670999426	46.127268	51.482443
28615	1	671380286	46.07645	51.392303
59411	1	671468899	46.002878	51.528178
32812	1	672521376	45.918131	51.489953
31818	1	672731939	46.0922307804	51.501448
32317	1	672856786	46.095504	51.499609
40322	1	673741643	45.955843	51.514022
30263	1	673778418	46.168375	51.490817
75000	1	675047755	46.015069	51.536078
25438	1	675459905	46.093294	51.499603
29166	1	675658609	46.16241	51.476054
34615	1	676930270	45.917637	51.497417
41666	1	677042866	45.956013	51.505714
29687	1	677550705	45.973234	51.534358
43125	1	677556007	45.974321	51.535848
45283	1	677659778	45.9598097946	51.5869504837
62000	1	677864369	46.031589	51.530867
33589	1	678426510	45.9752001084	51.5384635624
44222	1	678877447	45.965131	51.590326
32828	1	678944062	45.973342	51.601023
43846	1	679052467	45.942655	51.495252
51666	1	679794304	45.956283	51.495987
25806	1	679944543	46.034158	51.533103
34722	1	680774633	45.976288	51.582027
50609	1	680788425	46.065105	51.574241
43382	1	681863380	45.9765043275	51.5263103393
37000	1	682406590	45.981804	51.50984
39500	1	682667794	46.035101	51.574163
35267	1	682728886	46.005223	51.540212
35000	1	683121053	46.008439	51.61023
39444	1	684305466	46.0659669647	51.5299875978
47000	1	684340787	46.034158	51.533103
46093	1	685253015	45.928857	51.496396
44531	1	685731425	46.049663	51.539557
35000	1	685751512	46.091839	51.50151
43750	1	685823111	45.974941	51.600229
37968	1	685981522	45.9700853143	51.5851489268
28906	1	686591091	46.124321607	51.4822077634
28461	1	686618496	45.909364	51.600162
35000	1	687873805	45.944614	51.510687
32500	1	688085946	46.001163	51.597627
35000	1	688090865	46.01612	51.602394
48529	1	688357048	45.936035	51.507547
32638	1	689110551	46.0108729753	51.6057841291
28658	1	689759485	45.9564142064	51.4958423198
25781	1	689993093	45.956229	51.596687
25747	1	690311050	45.9315857036	51.4920996273
43548	1	691692330	46.009957	51.517626
42000	1	691984468	46.019614	51.531013
48750	1	692472765	46.116434	51.497955
25692	1	692482501	46.1190970291	51.4681010225
42187	1	692855746	46.031971905	51.5312752773
31250	1	693595149	46.068806564	51.5809324777
37500	1	694014665	46.014574	51.610622
36573	1	694555139	45.9858186404	51.5292600028
50000	1	694851231	46.0267219734	51.5328117103
31251	1	695104628	45.931588	51.493211
29729	1	695155784	45.9216120325	51.5952401421
47368	1	695182686	46.0233809815	51.5381893031
35000	1	696745554	45.978381	51.56754
55944	1	697564567	46.065419	51.529752
66428	1	697570275	46.003687	51.527231
35975	1	697578007	46.0699023826	51.5815990185
35000	1	697601364	45.980367	51.570586
41666	1	697624732	45.917961	51.498291
50000	1	698127175	45.994937	51.564198
36507	1	698535985	45.96125	51.577907
44117	1	699561198	45.976585	51.507116
53061	1	699603669	46.068941	51.571112
68115	1	700240618	46.120513	51.50373
46103	1	700966031	46.064179	51.568179
27027	1	701527016	45.9750565731	51.6006397751
31250	1	701985117	45.939107	51.493918
63815	1	702624499	46.005699	51.525931
37948	1	702904148	46.014574	51.610622
47916	1	702909377	46.0031526627	51.5693590013
30434	1	703471801	45.960909	51.59601
42833	1	703503433	45.991748	51.55884
40000	1	705258100	45.991748	51.512755
43000	1	706734177	45.938047	51.501409
48780	1	707320450	45.9571869914	51.4994014031
35833	1	707337366	46.160075	51.478382
33333	1	709349695	46.158907	51.484984
34523	1	709489387	46.130592	51.474713
54918	1	709847357	46.117485	51.489039
33620	1	709949207	45.9753	51.506017
35714	1	710021187	46.009265	51.570037
36666	1	710099691	45.938038	51.502726
43000	1	710290758	46.0672211865	51.572734459
31818	1	710640535	46.082334	51.578355
28205	1	711195674	46.080151	51.449114
36666	1	711264721	45.941964	51.510838
65625	1	711611557	45.995809	51.517261
41190	1	711644460	45.968176	51.58717
42500	1	713289167	46.013245	51.601555
42222	1	713316098	45.964422	51.56847
39666	1	713582368	46.0696193545	51.5816559471
41891	1	714918859	45.907891	51.599966
31666	1	714939849	46.15914	51.488775
63529	1	714947441	46.002798	51.528195
36956	1	715229748	45.976297	51.574633
40322	1	715242341	45.967763	51.572842
34166	1	715634567	46.1269	51.485674
28153	1	716035955	45.8967333221	51.482891991
45588	1	716560972	45.953812	51.513809
46590	1	716633390	45.984939	51.539562
33695	1	716751135	45.9813999272	51.6049262205
30232	1	716870988	45.955744	51.506622
37579	1	716911746	46.01612	51.611299
45283	1	716994745	45.974249	51.586515
33823	1	717374216	46.015994	51.601253
33437	1	717398484	45.932118	51.496368
38750	1	717458327	46.0815837786	51.5788096675
41777	1	717638404	45.998531	51.601157
39655	1	717740435	45.9482684138	51.5111899215
31578	1	718102847	45.9048900874	51.476216956
47342	1	718490538	45.963326	51.568604
45744	1	718516862	46.009957	51.517626
48750	1	718960118	45.979684	51.521089
32981	1	719425840	46.075525	51.57742
48723	1	719705234	46.007487	51.537994
40000	1	720029939	45.947165	51.58267
54477	1	720226579	45.999204	51.535366
75333	1	720519960	46.027322	51.52945
31111	1	720595763	46.136349864	51.4877007092
30246	1	720763203	46.132892	52.060659
37352	1	721523042	46.019084	51.601941
32352	1	721660089	45.9854725675	51.5290655364
53571	1	721836560	45.981328	51.505776
33783	1	721939545	46.132892	52.060659
36792	1	722332110	46.0048395151	51.6128308092
38153	1	722963673	45.998584	51.535333
31746	1	724200605	46.03785	51.390291
32812	1	724229527	46.034158	51.533103
